,K,Accuracy,Precision,F1 score
0,1,0.7333333333333333,0.746031746031746,0.7222222222222222
1,2,0.8666666666666667,0.8666666666666667,0.8666666666666668
2,3,0.8666666666666667,0.8666666666666667,0.8666666666666668
3,4,0.8666666666666667,0.8666666666666667,0.8666666666666668
4,5,0.9333333333333333,0.9444444444444445,0.9326599326599326
5,6,0.9333333333333333,0.9444444444444445,0.9326599326599326
6,7,0.9333333333333333,0.9444444444444445,0.9326599326599326
7,8,0.9333333333333333,0.9444444444444445,0.9326599326599326
8,9,0.9333333333333333,0.9444444444444445,0.9326599326599326
9,10,0.9333333333333333,0.9444444444444445,0.9326599326599326
10,11,0.9333333333333333,0.9444444444444445,0.9326599326599326
11,12,0.9333333333333333,0.9444444444444445,0.9326599326599326
12,13,0.9333333333333333,0.9444444444444445,0.9326599326599326
13,14,0.9333333333333333,0.9444444444444445,0.9326599326599326
14,1,0.8,0.8055555555555555,0.7979797979797979
15,2,0.8,0.8055555555555555,0.7979797979797979
16,3,0.9333333333333333,0.9444444444444445,0.9326599326599326
17,4,0.9333333333333333,0.9444444444444445,0.9326599326599326
18,5,0.9333333333333333,0.9444444444444445,0.9326599326599326
19,6,0.9333333333333333,0.9444444444444445,0.9326599326599326
20,7,0.9333333333333333,0.9444444444444445,0.9326599326599326
21,8,0.9333333333333333,0.9444444444444445,0.9326599326599326
22,9,0.9333333333333333,0.9444444444444445,0.9326599326599326
23,10,0.9333333333333333,0.9444444444444445,0.9326599326599326
24,11,0.9333333333333333,0.9444444444444445,0.9326599326599326
25,12,0.9333333333333333,0.9444444444444445,0.9326599326599326
26,13,0.9333333333333333,0.9444444444444445,0.9326599326599326
27,14,0.9333333333333333,0.9444444444444445,0.9326599326599326
28,1,0.9285714285714286,0.9333333333333332,0.9259259259259259
29,2,0.9285714285714286,0.9333333333333332,0.9259259259259259
30,3,1.0,1.0,1.0
31,4,0.9285714285714286,0.9333333333333332,0.9259259259259259
32,5,1.0,1.0,1.0
33,6,1.0,1.0,1.0
34,7,1.0,1.0,1.0
35,8,0.9285714285714286,0.9333333333333332,0.9259259259259259
36,9,0.9285714285714286,0.9333333333333332,0.9259259259259259
37,10,0.9285714285714286,0.9333333333333332,0.9259259259259259
38,11,0.9285714285714286,0.9333333333333332,0.9259259259259259
39,12,0.9285714285714286,0.9333333333333332,0.9259259259259259
40,13,0.9285714285714286,0.9333333333333332,0.9259259259259259
41,14,0.9285714285714286,0.9333333333333332,0.9259259259259259
42,1,0.9285714285714286,0.9333333333333332,0.9259259259259259
43,2,0.9285714285714286,0.9333333333333332,0.9259259259259259
44,3,0.9285714285714286,0.9333333333333332,0.9259259259259259
45,4,0.9285714285714286,0.9333333333333332,0.9259259259259259
46,5,0.9285714285714286,0.9333333333333332,0.9259259259259259
47,6,0.9285714285714286,0.9333333333333332,0.9259259259259259
48,7,0.9285714285714286,0.9333333333333332,0.9259259259259259
49,8,0.9285714285714286,0.9333333333333332,0.9259259259259259
50,9,0.9285714285714286,0.9333333333333332,0.9259259259259259
51,10,0.9285714285714286,0.9333333333333332,0.9259259259259259
52,11,0.9285714285714286,0.9333333333333332,0.9259259259259259
53,12,0.9285714285714286,0.9333333333333332,0.9259259259259259
54,13,0.9285714285714286,0.9333333333333332,0.9259259259259259
55,14,0.9285714285714286,0.9333333333333332,0.9259259259259259
56,1,0.7857142857142857,0.7777777777777777,0.7662337662337663
57,2,0.7857142857142857,0.7777777777777777,0.7662337662337663
58,3,0.8571428571428571,0.9047619047619048,0.8333333333333334
59,4,0.8571428571428571,0.9047619047619048,0.8333333333333334
60,5,0.8571428571428571,0.9047619047619048,0.8333333333333334
61,6,0.8571428571428571,0.9047619047619048,0.8333333333333334
62,7,0.8571428571428571,0.9047619047619048,0.8333333333333334
63,8,0.8571428571428571,0.9047619047619048,0.8333333333333334
64,9,0.8571428571428571,0.9047619047619048,0.8333333333333334
65,10,0.8571428571428571,0.9047619047619048,0.8333333333333334
66,11,0.8571428571428571,0.9047619047619048,0.8333333333333334
67,12,0.8571428571428571,0.9047619047619048,0.8333333333333334
68,13,0.8571428571428571,0.9047619047619048,0.8333333333333334
69,14,0.8571428571428571,0.9047619047619048,0.8333333333333334
70,1,1.0,1.0,1.0
71,2,1.0,1.0,1.0
72,3,1.0,1.0,1.0
73,4,1.0,1.0,1.0
74,5,1.0,1.0,1.0
75,6,1.0,1.0,1.0
76,7,1.0,1.0,1.0
77,8,1.0,1.0,1.0
78,9,1.0,1.0,1.0
79,10,1.0,1.0,1.0
80,11,1.0,1.0,1.0
81,12,1.0,1.0,1.0
82,13,1.0,1.0,1.0
83,14,1.0,1.0,1.0
84,1,0.9230769230769231,0.9333333333333332,0.9259259259259259
85,2,0.7692307692307693,0.8571428571428571,0.7662337662337663
86,3,1.0,1.0,1.0
87,4,0.8461538461538461,0.8888888888888888,0.85
88,5,1.0,1.0,1.0
89,6,0.9230769230769231,0.9333333333333332,0.9259259259259259
90,7,0.9230769230769231,0.9333333333333332,0.9259259259259259
91,8,0.9230769230769231,0.9333333333333332,0.9259259259259259
92,9,1.0,1.0,1.0
93,10,1.0,1.0,1.0
94,11,1.0,1.0,1.0
95,12,1.0,1.0,1.0
96,13,1.0,1.0,1.0
97,14,1.0,1.0,1.0
98,1,0.9230769230769231,0.9444444444444445,0.9220779220779222
99,2,0.7692307692307693,0.7833333333333333,0.7777777777777777
100,3,0.7692307692307693,0.7833333333333333,0.7777777777777777
101,4,0.7692307692307693,0.7833333333333333,0.7777777777777777
102,5,0.8461538461538461,0.85,0.8500000000000001
103,6,0.8461538461538461,0.8888888888888888,0.85
104,7,0.8461538461538461,0.85,0.8500000000000001
105,8,0.9230769230769231,0.9333333333333332,0.9259259259259259
106,9,0.9230769230769231,0.9333333333333332,0.9259259259259259
107,10,0.9230769230769231,0.9333333333333332,0.9259259259259259
108,11,0.9230769230769231,0.9333333333333332,0.9259259259259259
109,12,0.9230769230769231,0.9333333333333332,0.9259259259259259
110,13,0.9230769230769231,0.9333333333333332,0.9259259259259259
111,14,0.9230769230769231,0.9333333333333332,0.9259259259259259
112,1,0.9166666666666666,0.9333333333333332,0.9153439153439153
113,2,0.9166666666666666,0.9333333333333332,0.9153439153439153
114,3,0.9166666666666666,0.9333333333333332,0.9153439153439153
115,4,0.9166666666666666,0.9333333333333332,0.9153439153439153
116,5,0.9166666666666666,0.9333333333333332,0.9153439153439153
117,6,0.9166666666666666,0.9333333333333332,0.9153439153439153
118,7,0.9166666666666666,0.9333333333333332,0.9153439153439153
119,8,0.9166666666666666,0.9333333333333332,0.9153439153439153
120,9,0.9166666666666666,0.9333333333333332,0.9153439153439153
121,10,0.9166666666666666,0.9333333333333332,0.9153439153439153
122,11,0.9166666666666666,0.9333333333333332,0.9153439153439153
123,12,0.9166666666666666,0.9333333333333332,0.9153439153439153
124,13,0.9166666666666666,0.9333333333333332,0.9153439153439153
125,14,0.9166666666666666,0.9333333333333332,0.9153439153439153
126,1,0.9166666666666666,0.9333333333333332,0.9153439153439153
127,2,0.8333333333333334,0.8888888888888888,0.8222222222222223
128,3,0.9166666666666666,0.9333333333333332,0.9153439153439153
129,4,0.9166666666666666,0.9333333333333332,0.9153439153439153
130,5,1.0,1.0,1.0
131,6,0.8333333333333334,0.8888888888888888,0.8222222222222223
132,7,1.0,1.0,1.0
133,8,1.0,1.0,1.0
134,9,1.0,1.0,1.0
135,10,1.0,1.0,1.0
136,11,1.0,1.0,1.0
137,12,1.0,1.0,1.0
138,13,1.0,1.0,1.0
139,14,1.0,1.0,1.0
